2 1874
3 922
4 756
5 837
6 685
7 1255
8 750
9 576
10 925
11 1039
12 746
13 629
14 576
15 622
16 796
17 820
18 854
19 740
20 737
21 888
22 989
23 1124
24 1507
25 913
26 1697
27 913
28 954
29 893
30 945
31 1070
32 1130
33 1271
34 2056
35 1596
36 1730
37 1577
38 1648
39 1698
40 1799
41 6283
42 6301
43 2285
44 2295
45 6508
46 6676
47 6839
48 2978
49 7705
50 7558
51 7704
52 7889
53 8380
54 4116
55 8324
56 9078
57 4675
58 9019
59 9290
60 5504
61 5972
62 10304
63 6649
64 10933
65 11227
66 11523
67 11901
68 12213
69 12544
70 12816
71 13320
72 13722
73 14062
74 14452
75 14901
76 15301
77 19734
78 20156
79 20746
80 17166
81 17621
82 22038
83 18617
84 21601
85 24938
86 24564
87 24728
88 24873
89 25507
90 22634
91 24300
92 26272
93 24838
94 23726
95 26425
96 27151
97 26179
98 22055
99 29156
