2 2186
3 88
4 98
5 143
6 145
7 177
8 119
9 143
10 181
11 141
12 189
13 132
14 117
15 136
16 145
17 165
18 186
19 145
20 160
21 174
22 184
23 299
24 178
25 185
26 265
27 160
28 181
29 143
30 149
31 160
32 170
33 289
34 283
35 195
36 195
37 268
38 219
39 221
40 260
41 273
42 248
43 247
44 296
45 310
46 318
47 328
48 4350
49 353
50 312
51 329
52 324
53 406
54 408
55 428
56 434
57 4454
58 458
59 468
60 4490
61 448
62 432
63 4455
64 458
65 529
66 525
67 523
68 535
69 546
70 560
71 570
72 582
73 621
74 604
75 620
76 628
77 644
78 655
79 672
80 681
81 4707
82 708
83 4734
84 777
85 806
86 808
87 826
88 809
89 854
90 1081
91 888
92 948
93 1044
94 960
95 1003
96 1024
97 1118
98 1026
99 1080
