2 40
3 58
4 76
5 112
6 135
7 173
8 119
9 152
10 256
11 162
12 192
13 148
14 169
15 199
16 224
17 268
18 302
19 290
20 300
21 333
22 368
23 797
24 377
25 526
26 457
27 400
28 414
29 411
30 461
31 488
32 524
33 756
34 750
35 640
36 689
37 997
38 3157
39 2554
40 1242
41 1322
42 1053
43 5106
44 1614
45 1713
46 1814
47 1933
48 2039
49 2160
50 1658
51 1767
52 2004
53 6136
54 6840
55 2986
56 7141
57 3285
58 7481
59 7627
60 7812
61 6901
62 7024
63 3232
64 7326
65 7509
66 7700
67 7810
68 7977
69 8192
70 8320
71 8567
72 12677
73 8878
74 13090
75 9272
76 9556
77 9718
78 9936
79 14171
80 14414
81 10692
82 14869
83 11138
84 12421
85 13341
86 14024
87 14381
88 14307
89 13940
90 16921
91 16034
92 26447
93 28552
94 20751
95 21292
96 29640
97 30014
98 23141
99 30742
